 lga_code_2016,,vi,ko, es, pl, hi, fr, en, ar, nl, ta, it, sr, ur, zh, in, tr, ru, el, tl,de, sp_oth_lan_indo_ary_lan_ben_p, ja
17310,Tamworth Regional ,63,152,42,12,89,47,52838,50,30,30,52,4,38,372,12,4,24,27,226,71,36,11
17350,Temora ,14,0,3,0,0,0,5572,9,0,0,8,3,0,5,0,0,0,3,14,7,0,0
17400,Tenterfield ,3,0,0,4,0,3,5742,0,11,0,29,0,0,3,4,0,0,0,4,11,0,10
22410,Glenelg ,9,0,16,3,11,0,17026,5,25,0,7,0,3,38,16,3,3,13,36,27,10,0
22490,Golden Plains ,9,3,35,8,3,31,19624,20,30,0,72,20,3,20,8,4,12,33,3,51,0,14
22620,Greater Bendigo ,106,60,79,21,184,85,96646,167,67,73,204,17,75,659,83,22,47,152,143,126,58,50
22670,Greater Dandenong ,17058,420,1462,740,2524,935,45239,2662,154,3099,2329,2201,1394,11460,553,1504,494,3608,979,305,690,169
22750,Greater Geelong ,730,151,580,478,552,370,190555,665,485,193,2389,779,233,2402,230,318,253,936,510,828,125,253
25430,Mount Alexander ,8,3,35,14,7,46,15620,9,36,6,60,4,0,90,6,0,0,34,8,64,0,22
25490,Moyne ,3,0,3,7,4,27,14568,3,22,3,17,0,0,47,5,0,4,10,27,21,0,11
25620,Murrindindi ,3,3,13,13,3,8,11770,7,20,0,49,8,0,37,5,0,4,44,5,36,0,0
22310,Glen Eira ,744,761,919,848,1806,1097,88822,440,143,614,1747,325,172,10030,423,134,4715,5424,290,635,230,893
25710,Nillumbik ,83,20,160,91,91,180,52164,156,136,29,1053,96,30,742,48,76,60,539,23,288,0,105
25810,Northern Grampians ,14,8,10,4,3,4,10222,0,16,23,12,0,0,66,4,0,3,13,17,16,3,5
25900,Port Phillip ,419,234,1190,401,767,1027,69342,360,258,194,1435,231,85,3151,380,245,1309,2616,163,700,108,380
25990,Pyrenees ,11,0,12,3,0,13,5986,3,15,0,5,0,0,9,0,0,0,4,0,8,0,8
26080,Queenscliffe ,0,0,3,3,0,3,2385,0,6,0,11,0,0,13,0,0,5,5,0,4,0,6
26170,South Gippsland ,19,16,29,13,15,16,24723,10,79,10,246,8,0,54,3,0,8,42,21,86,4,15
26260,Southern Grampians ,7,3,8,7,9,10,14211,8,21,0,12,3,0,57,8,0,3,10,13,31,7,3
26350,Stonnington ,602,314,931,320,864,837,71377,392,159,214,1221,169,109,6906,500,259,796,3513,201,449,122,468
26430,Strathbogie ,11,16,5,7,9,12,8879,3,9,0,39,0,3,39,3,3,0,16,14,25,0,10
26490,Surf Coast ,18,7,58,11,18,78,25909,12,61,5,135,11,4,47,30,9,18,67,19,129,0,39
26610,Swan Hill ,222,23,8,4,26,33,15613,29,19,31,390,4,13,237,45,7,0,67,49,24,17,6
26670,Towong ,0,0,3,0,0,3,5187,0,8,0,15,0,0,6,0,0,0,3,12,32,0,0
26700,Wangaratta ,13,0,26,4,10,30,24541,17,23,19,535,12,16,76,5,13,0,42,36,54,3,26
26730,Warrnambool ,16,80,26,8,39,50,29297,68,25,28,40,0,0,410,30,13,12,32,35,38,4,53
26810,Wellington ,63,3,36,53,53,43,36575,30,83,38,124,14,29,161,16,9,15,43,85,68,9,20
26890,West Wimmera ,0,0,3,0,0,3,3472,0,5,0,0,0,0,0,3,0,4,3,0,20,0,0
26980,Whitehorse ,2067,1222,745,356,1779,473,95177,558,195,716,2219,230,423,31108,906,117,262,4132,402,614,301,569
27070,Whittlesea ,4691,242,910,246,3498,304,100368,9896,77,2146,9790,786,1163,6852,399,1754,186,7283,1070,236,389,171
27170,Wodonga ,18,21,49,30,76,64,34165,55,42,19,120,63,36,137,13,0,10,32,98,161,17,24
